Locality Name,Income Limit Type,Affordable Housing Baseline Estimate,Three Year Commitment Estimate,Annualized Commitment Estimate
Crowley Town,State Median Income,27,3,1
Custer County (Unincorporated),"Neighboring AMI - Custer County, Fremont County, Huerfano County, Pueblo County, Saguache County",259,24,8
Custer County (Unincorporated),Own AMI - Custer County,259,24,8
Custer County (Unincorporated),State Median Income,259,24,8
Dacono City,"Neighboring AMI - Adams County, Broomfield County",670,61,21
Dacono City,Neighboring AMI - Boulder County,663,60,20
Dacono City,"Neighboring AMI - Kimball County, NE",296,27,9
Dacono City,"Neighboring AMI - Laramie County, WY",427,39,13
Dacono City,Neighboring AMI - Larimer County,602,55,19
Dacono City,"Neighboring AMI - Logan County, Morgan County",404,37,13
Dacono City,Own AMI - Weld County,610,55,19
Dacono City,State Median Income,403,37,13
De Beque Town,"Neighboring AMI - Delta County, Mesa County, Montrose County",59,6,2
De Beque Town,Neighboring AMI - Garfield County,77,7,3
De Beque Town,"Neighboring AMI - Grand County, UT, San Juan County, UT",59,6,2
De Beque Town,Neighboring AMI - Gunnison County,59,6,2
De Beque Town,Neighboring AMI - Pitkin County,80,8,3
De Beque Town,Own AMI - Mesa County,59,6,2
De Beque Town,State Median Income,59,6,2
Deer Trail Town,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",101,10,4
Deer Trail Town,"Neighboring AMI - Lincoln County, Washington County",70,7,3
Deer Trail Town,Own AMI - Arapahoe County,101,10,4
Deer Trail Town,State Median Income,69,7,3
Del Norte Town,"Neighboring AMI - Alamosa County, Archuleta County, Conejos County, Mineral County, Rio Grande County, Saguache County",266,24,8
Del Norte Town,Own AMI - Rio Grande County,266,24,8
Del Norte Town,State Median Income,266,24,8
Delta City,"Neighboring AMI - Delta County, Mesa County, Montrose County",931,84,28
Delta City,Neighboring AMI - Gunnison County,928,84,28
Delta City,Own AMI - Delta County,931,84,28
Delta City,State Median Income,928,84,28
Delta County (Unincorporated),"Neighboring AMI - Delta County, Mesa County, Montrose County",474,43,15
Delta County (Unincorporated),Neighboring AMI - Gunnison County,471,43,15
Delta County (Unincorporated),Own AMI - Delta County,474,43,15
Delta County (Unincorporated),State Median Income,471,43,15
Denver City And County,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Jefferson County",81952,7376,2459
Denver City And County,Own AMI - Denver County,81952,7376,2459
Denver City And County,State Median Income,31626,2847,949
Dillon Town,"Neighboring AMI - Clear Creek County, Park County",75,7,3
Dillon Town,Neighboring AMI - Eagle County,75,7,3
Dillon Town,Neighboring AMI - Grand County,51,5,2
Dillon Town,Neighboring AMI - Lake County,52,5,2
Dillon Town,Own AMI - Summit County,64,6,2
Dillon Town,State Median Income,51,5,2
Dinosaur Town,"Neighboring AMI - Carbon County, WY",19,2,1
Dinosaur Town,"Neighboring AMI - Daggett County, UT",19,2,1
Dinosaur Town,Neighboring AMI - Rio Blanco County,19,2,1
Dinosaur Town,Neighboring AMI - Routt County,19,2,1
Dinosaur Town,"Neighboring AMI - Sweetwater County, WY",19,2,1
Dinosaur Town,"Neighboring AMI - Uintah County, UT",19,2,1
Dinosaur Town,Own AMI - Moffat County,19,2,1
Dinosaur Town,State Median Income,19,2,1
Dolores County (Unincorporated),"Neighboring AMI - Dolores County, Montezuma County, San Juan County",48,5,2
Dolores County (Unincorporated),Neighboring AMI - La Plata County,53,5,2
Dolores County (Unincorporated),"Neighboring AMI - San Juan County, UT",48,5,2
Dolores County (Unincorporated),Neighboring AMI - San Miguel County,53,5,2
Dolores County (Unincorporated),Own AMI - Dolores County,48,5,2
Dolores County (Unincorporated),State Median Income,48,5,2
Dolores Town,"Neighboring AMI - Apache County, AZ",174,16,6
Dolores Town,"Neighboring AMI - Dolores County, Montezuma County, San Juan County",262,24,8
Dolores Town,Neighboring AMI - La Plata County,290,27,9
Dolores Town,"Neighboring AMI - San Juan County, NM",246,23,8
Dolores Town,"Neighboring AMI - San Juan County, UT",262,24,8
Dolores Town,Own AMI - Montezuma County,262,24,8
Dolores Town,State Median Income,261,24,8
Douglas County (Unincorporated),"Neighboring AMI - Arapahoe County, Douglas County, Elbert County, Jefferson County",4820,434,145
Douglas County (Unincorporated),Neighboring AMI - El Paso County,947,86,29
Douglas County (Unincorporated),Neighboring AMI - Teller County,955,86,29
Douglas County (Unincorporated),Own AMI - Douglas County,4820,434,145
Douglas County (Unincorporated),State Median Income,955,86,29
Dove Creek Town,"Neighboring AMI - Dolores County, Montezuma County, San Juan County",63,6,2
Dove Creek Town,Neighboring AMI - La Plata County,64,6,2
Dove Creek Town,"Neighboring AMI - San Juan County, UT",63,6,2
Dove Creek Town,Neighboring AMI - San Miguel County,64,6,2
Dove Creek Town,Own AMI - Dolores County,63,6,2
Dove Creek Town,State Median Income,63,6,2
Durango City,"Neighboring AMI - Archuleta County, Dolores County, Hinsdale County, Montezuma County, San Juan County",877,79,27
Durango City,"Neighboring AMI - San Juan County, NM",501,46,16
Durango City,Own AMI - La Plata County,1447,131,44
Durango City,State Median Income,867,79,27
Eads Town,"Neighboring AMI - Bent County, Crowley County, Kiowa County, Lincoln County, Otero County, Prowers County",109,10,4
Eads Town,Neighboring AMI - Cheyenne County,109,10,4
Eads Town,"Neighboring AMI - Greeley County, KS",108,10,4
Eads Town,Own AMI - Kiowa County,109,10,4
Eads Town,State Median Income,109,10,4
Eagle County (Unincorporated),Neighboring AMI - Garfield County,532,48,16
Eagle County (Unincorporated),Neighboring AMI - Grand County,440,40,14
Eagle County (Unincorporated),Neighboring AMI - Lake County,442,40,14
Eagle County (Unincorporated),Neighboring AMI - Pitkin County,623,57,19
Eagle County (Unincorporated),Neighboring AMI - Routt County,626,57,19
Eagle County (Unincorporated),Neighboring AMI - Summit County,624,57,19
Eagle County (Unincorporated),Own AMI - Eagle County,929,84,28
Eagle County (Unincorporated),State Median Income,440,40,14
Eagle Town,Neighboring AMI - Garfield County,159,15,5
Eagle Town,Neighboring AMI - Grand County,135,13,5
Eagle Town,Neighboring AMI - Lake County,135,13,5
Eagle Town,Neighboring AMI - Pitkin County,183,17,6
Eagle Town,Neighboring AMI - Routt County,185,17,6
Eagle Town,Neighboring AMI - Summit County,184,17,6
Eagle Town,Own AMI - Eagle County,308,28,10
Eagle Town,State Median Income,135,13,5
Eaton Town,"Neighboring AMI - Adams County, Broomfield County",451,41,14
Eaton Town,Neighboring AMI - Boulder County,447,41,14
Eaton Town,"Neighboring AMI - Kimball County, NE",140,13,5
Eaton Town,"Neighboring AMI - Laramie County, WY",217,20,7
Eaton Town,Neighboring AMI - Larimer County,421,38,13
Eaton Town,"Neighboring AMI - Logan County, Morgan County",201,19,7
Eaton Town,Own AMI - Weld County,427,39,13
Eaton Town,State Median Income,198,18,6
Eckley Town,"Neighboring AMI - Chase County, NE, Dundy County, NE",48,5,2
Eckley Town,"Neighboring AMI - Cheyenne County, KS",47,5,2
Eckley Town,"Neighboring AMI - Kit Carson County, Logan County, Phillips County, Washington County, Yuma County",49,5,2
Eckley Town,Own AMI - Yuma County,49,5,2
Eckley Town,State Median Income,49,5,2
Edgewater City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",907,82,28
Edgewater City,Neighboring AMI - Boulder County,903,82,28
Edgewater City,Neighboring AMI - Teller County,192,18,6
Edgewater City,Own AMI - Jefferson County,907,82,28
Edgewater City,State Median Income,192,18,6
El Paso County (Unincorporated),"Neighboring AMI - Crowley County, Fremont County, Lincoln County, Pueblo County",7084,638,213
El Paso County (Unincorporated),"Neighboring AMI - Douglas County, Elbert County",13693,1233,411
El Paso County (Unincorporated),Neighboring AMI - Teller County,7034,634,212
El Paso County (Unincorporated),Own AMI - El Paso County,7009,631,211
El Paso County (Unincorporated),State Median Income,7030,633,211
Elbert County (Unincorporated),"Neighboring AMI - Arapahoe County, Douglas County, Elbert County",328,30,10
Elbert County (Unincorporated),Neighboring AMI - El Paso County,179,17,6
Elbert County (Unincorporated),Neighboring AMI - Lincoln County,181,17,6
Elbert County (Unincorporated),Own AMI - Elbert County,328,30,10
Elbert County (Unincorporated),State Median Income,180,17,6
Elizabeth Town,"Neighboring AMI - Arapahoe County, Douglas County, Elbert County",125,12,4
Elizabeth Town,Neighboring AMI - El Paso County,47,5,2
Elizabeth Town,Neighboring AMI - Lincoln County,48,5,2
Elizabeth Town,Own AMI - Elbert County,125,12,4
Elizabeth Town,State Median Income,48,5,2
Empire Town,"Neighboring AMI - Clear Creek County, Gilpin County, Jefferson County, Park County",81,8,3
Empire Town,Neighboring AMI - Grand County,47,5,2
Empire Town,Neighboring AMI - Summit County,62,6,2
Empire Town,Own AMI - Clear Creek County,81,8,3
Empire Town,State Median Income,47,5,2
Englewood City,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",4569,412,138
Englewood City,"Neighboring AMI - Lincoln County, Washington County",1913,173,58
Englewood City,Own AMI - Arapahoe County,4569,412,138
Englewood City,State Median Income,1888,170,57
Erie Town,"Neighboring AMI - Adams County, Broomfield County",449,41,14
Erie Town,Neighboring AMI - Boulder County,436,40,14
Erie Town,"Neighboring AMI - Broomfield County, Gilpin County, Jefferson County",449,41,14
Erie Town,Neighboring AMI - Grand County,151,14,5
Erie Town,"Neighboring AMI - Kimball County, NE",111,10,4
Erie Town,"Neighboring AMI - Laramie County, WY",188,17,6
Erie Town,Neighboring AMI - Larimer County,376,34,12
Erie Town,"Neighboring AMI - Logan County, Morgan County",152,14,5
Erie Town,Neighboring AMI - Weld County,387,35,12
Erie Town,Own AMI - Boulder County,436,40,14
Erie Town,Own AMI - Weld County,387,35,12
Erie Town,State Median Income,150,14,5
Estes Park Town,"Neighboring AMI - Albany County, WY",347,32,11
Estes Park Town,Neighboring AMI - Boulder County,535,49,17
Estes Park Town,Neighboring AMI - Grand County,348,32,11
Estes Park Town,Neighboring AMI - Jackson County,350,32,11
Estes Park Town,"Neighboring AMI - Laramie County, WY",465,42,14
Estes Park Town,Neighboring AMI - Weld County,516,47,16
Estes Park Town,Own AMI - Larimer County,514,47,16
Estes Park Town,State Median Income,347,32,11
Evans City,"Neighboring AMI - Adams County, Broomfield County",2500,225,75
Evans City,Neighboring AMI - Boulder County,2487,224,75
Evans City,"Neighboring AMI - Kimball County, NE",1042,94,32
Evans City,"Neighboring AMI - Laramie County, WY",1650,149,50
Evans City,Neighboring AMI - Larimer County,2156,195,65
Evans City,"Neighboring AMI - Logan County, Morgan County",1379,125,42
Evans City,Own AMI - Weld County,2172,196,66
Evans City,State Median Income,1367,124,42
Fairplay Town,"Neighboring AMI - Chaffee County, Fremont County, Lake County",79,8,3
Fairplay Town,"Neighboring AMI - Clear Creek County, Jefferson County, Park County",120,11,4
Fairplay Town,Neighboring AMI - Summit County,109,10,4
Fairplay Town,Neighboring AMI - Teller County,78,8,3
Fairplay Town,Own AMI - Park County,120,11,4
Fairplay Town,State Median Income,78,8,3
Federal Heights City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Denver County, Jefferson County",2104,190,64
Federal Heights City,"Neighboring AMI - Morgan County, Washington County",984,89,30
Federal Heights City,Neighboring AMI - Weld County,1453,131,44
Federal Heights City,Own AMI - Adams County,2104,190,64
Federal Heights City,State Median Income,977,88,30
Firestone Town,"Neighboring AMI - Adams County, Broomfield County",806,73,25
Firestone Town,Neighboring AMI - Boulder County,788,71,24
Firestone Town,"Neighboring AMI - Kimball County, NE",347,32,11
Firestone Town,"Neighboring AMI - Laramie County, WY",437,40,14
Firestone Town,Neighboring AMI - Larimer County,682,62,21
Firestone Town,"Neighboring AMI - Logan County, Morgan County",385,35,12
Firestone Town,Own AMI - Weld County,697,63,21
Firestone Town,State Median Income,383,35,12
Flagler Town,Neighboring AMI - Cheyenne County,105,10,4
Flagler Town,"Neighboring AMI - Cheyenne County, KS",96,9,3
Flagler Town,"Neighboring AMI - Kit Carson County, Lincoln County, Washington County, Yuma County",105,10,4
Flagler Town,"Neighboring AMI - Sherman County, KS",96,9,3
Flagler Town,"Neighboring AMI - Wallace County, KS",105,10,4
Flagler Town,Own AMI - Kit Carson County,105,10,4
Flagler Town,State Median Income,105,10,4
Fleming Town,"Neighboring AMI - Cheyenne County, NE",91,9,3
Fleming Town,"Neighboring AMI - Kimball County, NE",82,8,3
Fleming Town,"Neighboring AMI - Logan County, Morgan County, Phillips County, Sedgwick County, Washington County, Yuma County",91,9,3
Fleming Town,Neighboring AMI - Weld County,95,9,3
Fleming Town,Own AMI - Logan County,91,9,3
Fleming Town,State Median Income,90,9,3
Florence City,"Neighboring AMI - Chaffee County, Custer County, Fremont County, Pueblo County, Saguache County",628,57,19
Florence City,Neighboring AMI - El Paso County,625,57,19
Florence City,Neighboring AMI - Park County,742,67,23
Florence City,Neighboring AMI - Teller County,627,57,19
Florence City,Own AMI - Fremont County,628,57,19
Florence City,State Median Income,627,57,19
Fort Collins City,"Neighboring AMI - Albany County, WY",7097,639,213
Fort Collins City,Neighboring AMI - Boulder County,18443,1660,554
Fort Collins City,Neighboring AMI - Grand County,7107,640,214
Fort Collins City,Neighboring AMI - Jackson County,7179,647,216
Fort Collins City,"Neighboring AMI - Laramie County, WY",11336,1021,341
Fort Collins City,Neighboring AMI - Weld County,12709,1144,382
Fort Collins City,Own AMI - Larimer County,12577,1132,378
Fort Collins City,State Median Income,7096,639,213
Fort Lupton City,"Neighboring AMI - Adams County, Broomfield County",964,87,29
Fort Lupton City,Neighboring AMI - Boulder County,956,87,29
Fort Lupton City,"Neighboring AMI - Kimball County, NE",483,44,15
Fort Lupton City,"Neighboring AMI - Laramie County, WY",674,61,21
Fort Lupton City,Neighboring AMI - Larimer County,853,77,26
Fort Lupton City,"Neighboring AMI - Logan County, Morgan County",577,52,18
Fort Lupton City,Own AMI - Weld County,862,78,26
Fort Lupton City,State Median Income,574,52,18
Fort Morgan City,Neighboring AMI - Adams County,1586,143,48
Fort Morgan City,"Neighboring AMI - Logan County, Morgan County, Washington County",1152,104,35
Fort Morgan City,Neighboring AMI - Weld County,1442,130,44
Fort Morgan City,Own AMI - Morgan County,1152,104,35
Fort Morgan City,State Median Income,1146,104,35
Fountain City,"Neighboring AMI - Crowley County, Fremont County, Lincoln County, Pueblo County",1877,169,57
Fountain City,"Neighboring AMI - Douglas County, Elbert County",3560,321,107
Fountain City,Neighboring AMI - Teller County,1864,168,56
Fountain City,Own AMI - El Paso County,1858,168,56
Fountain City,State Median Income,1863,168,56
Fowler Town,"Neighboring AMI - Bent County, Crowley County, Kiowa County, Las Animas County, Otero County, Pueblo County",135,13,5
Fowler Town,Own AMI - Otero County,135,13,5
Fowler Town,State Median Income,134,13,5
Foxfield Town,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",4,1,1
Foxfield Town,"Neighboring AMI - Lincoln County, Washington County",2,1,1
Foxfield Town,Own AMI - Arapahoe County,4,1,1
Foxfield Town,State Median Income,2,1,1
Fraser Town,Neighboring AMI - Boulder County,175,16,6
Fraser Town,"Neighboring AMI - Clear Creek County, Gilpin County",176,16,6
Fraser Town,Neighboring AMI - Eagle County,176,16,6
Fraser Town,Neighboring AMI - Jackson County,58,6,2
Fraser Town,Neighboring AMI - Larimer County,120,11,4
Fraser Town,Neighboring AMI - Routt County,121,11,4
Fraser Town,Neighboring AMI - Summit County,121,11,4
Fraser Town,Own AMI - Grand County,57,6,2
Fraser Town,State Median Income,57,6,2
Frederick Town,"Neighboring AMI - Adams County, Broomfield County",467,43,15
Frederick Town,Neighboring AMI - Boulder County,454,41,14
Frederick Town,"Neighboring AMI - Kimball County, NE",114,11,4
Frederick Town,"Neighboring AMI - Laramie County, WY",170,16,6
Frederick Town,Neighboring AMI - Larimer County,436,40,14
Frederick Town,"Neighboring AMI - Logan County, Morgan County",155,14,5
Frederick Town,Own AMI - Weld County,452,41,14
Frederick Town,State Median Income,154,14,5
Fremont County (Unincorporated),"Neighboring AMI - Chaffee County, Custer County, Fremont County, Pueblo County, Saguache County",1249,113,38
Fremont County (Unincorporated),Neighboring AMI - El Paso County,1236,112,38
Fremont County (Unincorporated),Neighboring AMI - Park County,1801,163,55
Fremont County (Unincorporated),Neighboring AMI - Teller County,1241,112,38
Fremont County (Unincorporated),Own AMI - Fremont County,1249,113,38
Fremont County (Unincorporated),State Median Income,1240,112,38
Frisco Town,"Neighboring AMI - Clear Creek County, Park County",169,16,6
Frisco Town,Neighboring AMI - Eagle County,170,16,6
Frisco Town,Neighboring AMI - Grand County,63,6,2
Frisco Town,Neighboring AMI - Lake County,64,6,2
Frisco Town,Own AMI - Summit County,104,10,4
Frisco Town,State Median Income,63,6,2
Fruita City,"Neighboring AMI - Delta County, Mesa County, Montrose County",1204,109,37
Fruita City,Neighboring AMI - Garfield County,1246,113,38
Fruita City,"Neighboring AMI - Grand County, UT, San Juan County, UT",1203,109,37
Fruita City,Neighboring AMI - Gunnison County,1200,108,36
Fruita City,Neighboring AMI - Pitkin County,1551,140,47
Fruita City,Own AMI - Mesa County,1204,109,37
Fruita City,State Median Income,1200,108,36
Garden City Town,"Neighboring AMI - Adams County, Broomfield County",43,4,2
Garden City Town,Neighboring AMI - Boulder County,43,4,2
Garden City Town,"Neighboring AMI - Kimball County, NE",39,4,2
Garden City Town,"Neighboring AMI - Laramie County, WY",41,4,2
Garden City Town,Neighboring AMI - Larimer County,42,4,2
Garden City Town,"Neighboring AMI - Logan County, Morgan County",40,4,2
Garden City Town,Own AMI - Weld County,42,4,2
Garden City Town,State Median Income,40,4,2
Garfield County (Unincorporated),Neighboring AMI - Eagle County,1742,157,53
Garfield County (Unincorporated),"Neighboring AMI - Grand County, UT",1139,103,35
Garfield County (Unincorporated),Neighboring AMI - Mesa County,1140,103,35
Garfield County (Unincorporated),Neighboring AMI - Pitkin County,1421,128,43
Garfield County (Unincorporated),Neighboring AMI - Rio Blanco County,1139,103,35
Garfield County (Unincorporated),Neighboring AMI - Routt County,1427,129,43
Garfield County (Unincorporated),"Neighboring AMI - Uintah County, UT",1139,103,35
Garfield County (Unincorporated),Own AMI - Garfield County,1278,116,39
Garfield County (Unincorporated),State Median Income,1136,103,35
Genoa Town,"Neighboring AMI - Arapahoe County, Elbert County",30,3,1
Genoa Town,Neighboring AMI - Cheyenne County,29,3,1
Genoa Town,"Neighboring AMI - Crowley County, Kiowa County, Kit Carson County, Lincoln County, Pueblo County, Washington County",29,3,1
Genoa Town,Neighboring AMI - El Paso County,29,3,1
Genoa Town,Own AMI - Lincoln County,29,3,1
Genoa Town,State Median Income,29,3,1
Georgetown Town,"Neighboring AMI - Clear Creek County, Gilpin County, Jefferson County, Park County",162,15,5
Georgetown Town,Neighboring AMI - Grand County,87,8,3
Georgetown Town,Neighboring AMI - Summit County,147,14,5
Georgetown Town,Own AMI - Clear Creek County,162,15,5
Georgetown Town,State Median Income,87,8,3
Gilcrest Town,"Neighboring AMI - Adams County, Broomfield County",87,8,3
Gilcrest Town,Neighboring AMI - Boulder County,87,8,3
Gilcrest Town,"Neighboring AMI - Kimball County, NE",37,4,2
Gilcrest Town,"Neighboring AMI - Laramie County, WY",63,6,2
Gilcrest Town,Neighboring AMI - Larimer County,80,8,3
Gilcrest Town,"Neighboring AMI - Logan County, Morgan County",61,6,2
Gilcrest Town,Own AMI - Weld County,80,8,3
Gilcrest Town,State Median Income,61,6,2
Gilpin County (Unincorporated),Neighboring AMI - Boulder County,236,22,8
Gilpin County (Unincorporated),"Neighboring AMI - Clear Creek County, Gilpin County, Jefferson County",239,22,8
Gilpin County (Unincorporated),Neighboring AMI - Grand County,65,6,2
Gilpin County (Unincorporated),Own AMI - Gilpin County,239,22,8
Gilpin County (Unincorporated),State Median Income,64,6,2
Glendale City,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",1355,122,41
Glendale City,"Neighboring AMI - Lincoln County, Washington County",245,23,8
Glendale City,Own AMI - Arapahoe County,1355,122,41
Glendale City,State Median Income,236,22,8
Glenwood Springs City,Neighboring AMI - Eagle County,839,76,26
Glenwood Springs City,"Neighboring AMI - Grand County, UT",389,36,12
Glenwood Springs City,Neighboring AMI - Mesa County,390,36,12
Glenwood Springs City,Neighboring AMI - Pitkin County,651,59,20
Glenwood Springs City,Neighboring AMI - Rio Blanco County,387,35,12
Glenwood Springs City,Neighboring AMI - Routt County,654,59,20
Glenwood Springs City,"Neighboring AMI - Uintah County, UT",388,35,12
Glenwood Springs City,Own AMI - Garfield County,601,55,19
Glenwood Springs City,State Median Income,385,35,12
Golden City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",1566,141,47
Golden City,Neighboring AMI - Boulder County,1552,140,47
Golden City,Neighboring AMI - Teller County,627,57,19
Golden City,Own AMI - Jefferson County,1566,141,47
Golden City,State Median Income,627,57,19
Granada Town,"Neighboring AMI - Baca County, Bent County, Kiowa County, Prowers County",74,7,3
Granada Town,"Neighboring AMI - Greeley County, KS, Hamilton County, KS, Stanton County, KS",73,7,3
Granada Town,Own AMI - Prowers County,74,7,3
Granada Town,State Median Income,74,7,3
Granby Town,Neighboring AMI - Boulder County,376,34,12
Granby Town,"Neighboring AMI - Clear Creek County, Gilpin County",378,35,12
Granby Town,Neighboring AMI - Eagle County,378,35,12
Granby Town,Neighboring AMI - Jackson County,235,22,8
Granby Town,Neighboring AMI - Larimer County,336,31,11
Granby Town,Neighboring AMI - Routt County,337,31,11
Granby Town,Neighboring AMI - Summit County,336,31,11
Granby Town,Own AMI - Grand County,234,22,8
Granby Town,State Median Income,234,22,8
Grand County (Unincorporated),Neighboring AMI - Boulder County,494,45,15
Grand County (Unincorporated),"Neighboring AMI - Clear Creek County, Gilpin County",497,45,15
Grand County (Unincorporated),Neighboring AMI - Eagle County,500,45,15
Grand County (Unincorporated),Neighboring AMI - Jackson County,383,35,12
Grand County (Unincorporated),Neighboring AMI - Larimer County,485,44,15
Grand County (Unincorporated),Neighboring AMI - Routt County,487,44,15
Grand County (Unincorporated),Neighboring AMI - Summit County,486,44,15
Grand County (Unincorporated),Own AMI - Grand County,382,35,12
Grand County (Unincorporated),State Median Income,382,35,12
Grand Junction City,"Neighboring AMI - Delta County, Mesa County, Montrose County",7349,662,221
Grand Junction City,Neighboring AMI - Garfield County,8269,745,249
Grand Junction City,"Neighboring AMI - Grand County, UT, San Juan County, UT",7346,662,221
Grand Junction City,Neighboring AMI - Gunnison County,7320,659,220
Grand Junction City,Neighboring AMI - Pitkin County,9460,852,284
Grand Junction City,Own AMI - Mesa County,7349,662,221
Grand Junction City,State Median Income,7318,659,220
Grand Lake Town,Neighboring AMI - Boulder County,31,3,1
Grand Lake Town,"Neighboring AMI - Clear Creek County, Gilpin County",31,3,1
Grand Lake Town,Neighboring AMI - Eagle County,31,3,1
Grand Lake Town,Neighboring AMI - Jackson County,21,2,1
Grand Lake Town,Neighboring AMI - Larimer County,25,3,1
Grand Lake Town,Neighboring AMI - Routt County,25,3,1
Grand Lake Town,Neighboring AMI - Summit County,25,3,1
Grand Lake Town,Own AMI - Grand County,21,2,1
Grand Lake Town,State Median Income,21,2,1
Greeley City,"Neighboring AMI - Adams County, Broomfield County",13279,1196,399
Greeley City,Neighboring AMI - Boulder County,13200,1188,396
Greeley City,"Neighboring AMI - Kimball County, NE",6329,570,190
Greeley City,"Neighboring AMI - Laramie County, WY",9603,865,289
Greeley City,Neighboring AMI - Larimer County,11337,1021,341
Greeley City,"Neighboring AMI - Logan County, Morgan County",7553,680,227
Greeley City,Own AMI - Weld County,11422,1028,343
Greeley City,State Median Income,7495,675,225
Green Mountain Falls Town,"Neighboring AMI - Crowley County, Fremont County, Lincoln County, Pueblo County",28,3,1
Green Mountain Falls Town,"Neighboring AMI - Douglas County, Elbert County",61,6,2
Green Mountain Falls Town,"Neighboring AMI - Douglas County, Jefferson County, Park County",61,6,2
Green Mountain Falls Town,Neighboring AMI - El Paso County,27,3,1
Green Mountain Falls Town,Neighboring AMI - Fremont County,28,3,1
Green Mountain Falls Town,Neighboring AMI - Teller County,28,3,1
Green Mountain Falls Town,Own AMI - El Paso County,27,3,1
Green Mountain Falls Town,Own AMI - Teller County,28,3,1
Green Mountain Falls Town,State Median Income,28,3,1
Greenwood Village City,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",641,58,20
Greenwood Village City,"Neighboring AMI - Lincoln County, Washington County",155,14,5
Greenwood Village City,Own AMI - Arapahoe County,641,58,20
Greenwood Village City,State Median Income,154,14,5
Grover Town,"Neighboring AMI - Adams County, Broomfield County",34,4,2
Grover Town,Neighboring AMI - Boulder County,34,4,2
Grover Town,"Neighboring AMI - Kimball County, NE",30,3,1
Grover Town,"Neighboring AMI - Laramie County, WY",32,3,1
Grover Town,Neighboring AMI - Larimer County,33,3,1
Grover Town,"Neighboring AMI - Logan County, Morgan County",30,3,1
Grover Town,Own AMI - Weld County,33,3,1
Grover Town,State Median Income,30,3,1
Gunnison City,"Neighboring AMI - Chaffee County, Delta County, Hinsdale County, Mesa County, Montrose County, Saguache County",752,68,23
Gunnison City,Neighboring AMI - Ouray County,746,68,23
Gunnison City,Neighboring AMI - Pitkin County,1080,98,33
Gunnison City,Own AMI - Gunnison County,746,68,23
Gunnison City,State Median Income,746,68,23
Gunnison County (Unincorporated),"Neighboring AMI - Chaffee County, Delta County, Hinsdale County, Mesa County, Montrose County, Saguache County",274,25,9
Gunnison County (Unincorporated),Neighboring AMI - Ouray County,273,25,9
Gunnison County (Unincorporated),Neighboring AMI - Pitkin County,375,34,12
Gunnison County (Unincorporated),Own AMI - Gunnison County,273,25,9
Gunnison County (Unincorporated),State Median Income,273,25,9
Gypsum Town,Neighboring AMI - Garfield County,348,32,11
Gypsum Town,Neighboring AMI - Grand County,293,27,9
Gypsum Town,Neighboring AMI - Lake County,294,27,9
Gypsum Town,Neighboring AMI - Pitkin County,426,39,13
Gypsum Town,Neighboring AMI - Routt County,430,39,13
Gypsum Town,Neighboring AMI - Summit County,428,39,13
Gypsum Town,Own AMI - Eagle County,574,52,18
Gypsum Town,State Median Income,293,27,9
Hartman Town,"Neighboring AMI - Baca County, Bent County, Kiowa County, Prowers County",13,2,1
Hartman Town,"Neighboring AMI - Greeley County, KS, Hamilton County, KS, Stanton County, KS",12,2,1
Hartman Town,Own AMI - Prowers County,13,2,1
Hartman Town,State Median Income,13,2,1
Haswell Town,"Neighboring AMI - Bent County, Crowley County, Kiowa County, Lincoln County, Otero County, Prowers County",9,1,1
Haswell Town,Neighboring AMI - Cheyenne County,9,1,1
Haswell Town,"Neighboring AMI - Greeley County, KS",8,1,1
Haswell Town,Own AMI - Kiowa County,9,1,1
Haswell Town,State Median Income,9,1,1
Haxtun Town,"Neighboring AMI - Chase County, NE",136,13,5
Haxtun Town,"Neighboring AMI - Logan County, Phillips County, Sedgwick County, Yuma County",156,15,5
Haxtun Town,"Neighboring AMI - Perkins County, NE",156,15,5
Haxtun Town,Own AMI - Phillips County,156,15,5
Haxtun Town,State Median Income,156,15,5
Hayden Town,"Neighboring AMI - Carbon County, WY",155,14,5
Hayden Town,Neighboring AMI - Eagle County,263,24,8
Hayden Town,Neighboring AMI - Garfield County,183,17,6
Hayden Town,Neighboring AMI - Grand County,155,14,5
Hayden Town,"Neighboring AMI - Jackson County, Moffat County",156,15,5
Hayden Town,Neighboring AMI - Rio Blanco County,155,14,5
Hayden Town,Own AMI - Routt County,239,22,8
Hayden Town,State Median Income,155,14,5
Hillrose Town,Neighboring AMI - Adams County,45,5,2
Hillrose Town,"Neighboring AMI - Logan County, Morgan County, Washington County",29,3,1
Hillrose Town,Neighboring AMI - Weld County,35,4,2
